go on,계속하다
go shopping,쇼핑하러 가다
go through,(고통을) 겪다/ 경험하다
go through the roof,최고에 달하다
go to bed,잠자리에 들다
graduate from,졸업하다
grow up,자라서 ~이 되다
had better,~하는 편이 낫다
hand down,유산으로 남기다
hand in,제출하다
hand in hand,손을 마주 잡고/ 제휴하여
hand over,넘겨주다/ 양도하다
happen to,우연히 ～하다
happen to+do,우연히 ~하게 되다
have a good opinion of,～을 좋게 생각하다
have a good time,즐겁게 지내다
have a habit of,~하는 습관이 있다
have a look at,~을 보다
have a mind to,～하고 싶다
have an affair,정부를 두다
have an ear for,～에 대한 감상력이 있다
have an idea of,～을 알다
have been ~ing,쭉 해 오고 있다
have difficulty (in) ~ing,~ 하는 데 곤란을 느끼다
have done with,～을 끝내다
have much to do with,~와 관계가 많다
have nothing to do with,～과 관계가 없다
have on,입고 있다
have one's own way,마음대로 하다
have only to,~ 하기만 하면 된다
have the best of it,이기다
have the kindness+to부정사,친절하게도 ~하다
have to do with,～와 관계가 있다
head down,머리를 숙이고
head for,~을 향해 가다
hear from,소식을 받다
hear of,～에 관해 소문을 듣다
heel over,쏠리다
help oneself to,맘껏 들다
help+사람+with+일,~의 일을 돕다
hit on,우연히 만나다/ 생각나다
hold back,억제하다/ ~을 말리다
hold good,유효하다
hold on,기다리다/ 붙잡다/ 계속하다
hold out,내밀다/ 저항하다
hour after hour,매 시간
how to do,~ 하는 방법
however A may ~,아무리 A해도 ~하다
hurry out,서둘러서 나가다
hurry up,서두르다
I am sure (that) ~,~을 확신하다
if it were not for ~,만약 ~이 없다면
if only,~이면 좋을 텐데
ill at ease,불안한
ill in bed,병으로 누워 있는
impose a tax,세금을 부과하다
in ~ing,~할 때는
in a circular path,원형 궤도로
in a degree,조금은/ 어느 정도
in a hurry,서둘러
in a little while,곧
in a measure,어느 정도
in a sense,어떤 의미에 있어서
in a short time,잠시 후에
in a train,기차로
in a vacuum,진공상태에서
in a way,어떤 면에서는
in a word,간단히 말해서
in accord with,～와 일치하여
in accordance with,～에 따라서
in addition to,～뿐만 아니라/ 부가하여
in advance,미리/ 사전에
in all,모두 합해서
in an instant,순식간에
in any way,아무렇게나/ 어떻게든
in balance,균형이 잡혀/ 조화롭게
in behalf of,～을 위하여
in case of,～의 경우에
in charge of,～을 책임지다
in common,공통으로/ 공통적으로
in consideration of,～을 고려하여
in contact with,～와 접촉하다
in course of,～하는 과정에
in debt,빚을 진
in detail,상세히
in dispute,논쟁중인/ 분쟁중인
in fact,사실
in favor of,～에 찬성하여/ ～을 위하여
in fear of,~을 두려워해서
in front of,~의 앞에
in general,대개
in half,반으로/ 절반으로
in harmony,조화롭게/ 평화롭게
in honor of,～에게 경의를 표하여/ ～을 기념하여
in itself,그 자체로는
in labor,진통중인
in Latin,라틴어로
in less than,~도 못 되어
in life,인생에서
in many ways,여러 가지 점에서
in most cases,대개의 경우
in motion,움직이고 있는/ 운동 중인
in nine cases out of ten,십중팔구
in no time,즉시
in one's life,생전에
in one's place,～대신에
in one's wits,제 정신으로/ 진정으로
in order to,~하기 위해서
in other words,즉/ 다시 말해서
in particular,특히
in person,본인 자신이/ 몸소
in place of,～대신에
in practice,사실상
in praise of,～을 칭찬하여
in preference to,～보다 우선하여/ ～보다 차라리
in private,개인적으로/ 내밀히
in process of,～하는 과정에
in proportion as[to],～에 비례하여
in public,공개적으로
in pursuit of,～을 추구하여
in reality,사실
in regard to,～에 관하여
in reply to,~에 답으로서
in reserve,비축되어 있는/ 예비로 마련해 둔
in respect of,～에 관하여
in return,(~에 대한) 반응으로/ 답례로
in return for,～의 보답으로
in search of,～을 찾아서
in shift,교대로
in short,간단히 말해서
in sight,보이는
in size,크기에 있어서
in spite of,～에도 불구하고
in store,~에게 닥쳐올
in succession,계속하여
in terms of,～에 의하여/ ～의 견지에서
in that,~이라는 점에서
in the cause of,～을 위하여
in the center of,~의 한 복판에
in the distance,멀리서
in the end,결국
in the event of,～할 경우에
in the face of,～에도 불구하고/ ～의 면전에서
in the first place,우선
in the form of,~의 형태로
in the future,미래에는
in the long run,결국
in the meantime,그 동안에
in the middle of,~의 중앙에
in the midst,한창일 때
in the past,과거에는
in the presence of,～의 면전에서/ ～의 앞에서
in the teeth of,～에도 불구하고
in the way,방해가 되는
in theory,이론적으로
in these days,요즘에
in this respect,이 점에 있어서
in three ways,세 가지 방식으로
in time,머지않아/ 시간에 맞게
in touch with,～와 접촉하여/ ～에 뒤떨어지지 않다
in truth,정말/ 참으로
in turn,차례로
in vain,헛되이
in various stages,여러 단계에서/ 여러 단계로
in view of,～의 견지에서/ ～이 보이는 곳에
in virtue of,～의 힘으로/ ～에 의하여
in want of,～이 결핍하여/ ～이 필요하여
in waves,파동의 형태로
inquire after,안부를 묻다
inquire into,조사하다
inspired by,~에 의해 영감을 받은
instead of,～대신에
into the bargain,덤으로/ 그 위에
invite A to B,A를 B에 초대하다
It appears that,~인 것처럼 보인다
It goes without saying that,~은 말할 것도 없다
It is ~ for(of) ~ to,it은 to 이하를 가리킴
It is ~ that절/의문사절,it은 절 이하를 가리킴
It is no good ~ing,~ 해도 소용없다
It is no use ~ing,~ 해도 소용없다
It is said that ~,~이라고 한다
It seems that,~인 것 같다
It won't be long before,머지않아 곧
judging from,～으로 판단컨대
keep ~ a secret,~을 비밀로 하다
keep ~ from,~에게 못하게 하다
keep ~ing,계속해서 ~하다
keep a diary,일기를 쓰다
keep abreast of(with),～와 보조를 맞추다
keep back,감추다
keep company with,～와 친히 사귀다
keep down,누르다
keep in mind,명심하다
keep one's word,약속을 지키다
keep up (with),따라가다
kick up,(먼지를) 일으키다/ 거세지기 시작하다
kind of,종류의
know ~ by heart,암기하다
know A from B,A와 B를 구별하다
last for,~동안 지속되다
later on,후에/ 나중에
laugh at,비웃다/ 소리 내어 웃다
lay aside,저축하다
lay down,버리다/ 계획하다
lead the way,길을 이끌다/ 선도하다/ 앞장서다
lead to,～으로 이르다/ ～을 가져오다
lean against,~에 기대다
lean on,~에 의지하다
learn ～ by heart,암기하다
learn by heart,암기하다
learn to,～하게 되다
leave A for B,B를 향해서 A를 떠나다
leave A with B,A를 B에게 맡기다
leave off,중단하다
leave out,생략하다/ 잊다
less ~ than A,A만큼 ~ 아니다
let alone,～은 말할 것도 없이
let go,해방하다/ (쥐고 있던 것을) 놓다
lie down,누워 있다
lie in,～에 놓여 있다
line up,줄을 서다
listen to,귀를 기울이다
little (or no) better than,～과 거의 비슷한
little by little,조금씩 조금씩
little short of,거의
live on,～을 먹고 살다
live up to,(기대에) 부응하다
long ago,오래전에
long for,갈망하다
look after,돌보다/ 찾다
look alike,같아 보이다/ 비슷해 보이다
look at,~을 쳐다보다
look back upon (or at/ on),회상하다
look down on,멸시하다
look for,찾다/ 기대하다
look forward to,고대하다
look forward to ~ing,~를 학수고대하다
look into,조사하다
look like,～처럼 보이다
look on,방관하다/ 간주하다
look out,조심하다
look over,검사하다/ 눈감아 주다
look to A for B,A에게 B를 바라다
look up to,존경하다
look upon A as B,A를 B로 간주하다
lose heart,낙담하다
lose no time in ～ing,곧 ～하다
lose one's temper,화를 내다
